Signal Strength (dBm),"Location (Lat, Long)",Time (HH:MM:SS),Speed (km/h),Handover
-70,"37.7749, -122.4194",08:05:10,0,0
-75,"37.7748, -122.4196",08:07:22,10,0
-80,"37.7746, -122.4199",08:09:35,20,0
-85,"37.7743, -122.4201",08:11:48,30,1
-90,"37.7741, -122.4204",08:14:00,40,1
-95,"37.7739, -122.4206",08:16:12,50,1
-100,"37.7737, -122.4209",08:18:24,60,0
-90,"37.7735, -122.4211",08:20:36,70,0
-80,"37.7733, -122.4214",08:22:48,80,0
-70,"37.7731, -122.4216",08:25:00,90,0
-75,"37.7729, -122.4219",08:27:12,100,1
-80,"37.7727, -122.4221",08:29:24,110,0
-85,"37.7725, -122.4224",08:31:36,120,0
-90,"37.7723, -122.4226",08:33:48,130,1
-95,"37.7721, -122.4229",08:36:00,140,0
-100,"37.7719, -122.4231",08:38:12,150,0
-90,"37.7717, -122.4234",08:40:24,160,0
-80,"37.7715, -122.4236",08:42:36,170,1
-70,"37.7713, -122.4239",08:44:48,180,0
-75,"37.7711, -122.4241",08:47:00,190,1
-80,"37.7709, -122.4244",08:49:12,200,0
-85,"37.7707, -122.4246",08:51:24,210,0
-90,"37.7705, -122.4249",08:53:36,220,0
-95,"37.7703, -122.4251",08:55:48,230,1
-100,"37.7701, -122.4254",08:58:00,240,0
-90,"37.7699, -122.4256",09:00:12,250,1
-80,"37.7697, -122.4259",09:02:24,260,0
-70,"37.7695, -122.4261",09:04:36,270,1
-75,"37.7693, -122.4264",09:06:48,280,0
-80,"37.7691, -122.4266",09:09:00,290,0
-85,"37.7689, -122.4269",09:11:12,300,1
-90,"37.7687, -122.4271",09:13:24,310,0
-95,"37.7685, -122.4274",09:15:36,320,1
-100,"37.7683, -122.4276",09:17:48,330,0
-90,"37.7681, -122.4279",09:20:00,340,0
-80,"37.7679, -122.4281",09:22:12,350,1
-70,"37.7677, -122.4284",09:24:24,360,0
-75,"37.7675, -122.4286",09:26:36,370,1
-80,"37.7673, -122.4289",09:28:48,380,0
-85,"37.7671, -122.4291",09:31:00,390,1
-90,"37.7669, -122.4294",09:33:12,400,0
-95,"37.7667, -122.4296",09:35:24,410,1
-100,"37.7665, -122.4299",09:37:36,420,0
-90,"37.7663, -122.4301",09:39:48,430,0
-80,"37.7661, -122.4304",09:42:00,440,1
-70,"37.7659, -122.4306",09:44:12,450,0
-75,"37.7657, -122.4309",09:46:24,460,1
-80,"37.7655, -122.4311",09:48:36,470,0
-85,"37.7653, -122.4314",09:50:48,480,1
-90,"37.7651, -122.4316",09:53:00,490,0
-95,"37.7649, -122.4319",09:55:12,500,1
-100,"37.7647, -122.4321",09:57:24,510,0
-90,"37.7645, -122.4324",09:59:36,520,0
-80,"37.7643, -122.4326",10:01:48,530,1
-70,"37.7641, -122.4329",10:04:00,540,0
-75,"37.7639, -122.4331",10:06:12,550,1
-80,"37.7637, -122.4334",10:08:24,560,0
-85,"37.7635, -122.4336",10:10:36,570,1
-90,"37.7633, -122.4339",10:12:48,580,0
-95,"37.7631, -122.4341",10:15:00,590,1
-100,"37.7629, -122.4344",10:17:12,600,0
-90,"37.7627, -122.4346",10:19:24,610,0
-95,"37.7667, -122.4296",09:35:24,410,1
-100,"37.7665, -122.4299",09:37:36,420,0
-90,"37.7663, -122.4301",09:39:48,430,0
-80,"37.7661, -122.4304",09:42:00,440,1
-70,"37.7659, -122.4306",09:44:12,450,0
-75,"37.7657, -122.4309",09:46:24,460,1
-80,"37.7655, -122.4311",09:48:36,470,0
-85,"37.7653, -122.4314",09:50:48,480,1
-90,"37.7651, -122.4316",09:53:00,490,0
-95,"37.7649, -122.4319",09:55:12,500,1
-100,"37.7647, -122.4321",09:57:24,510,0
-90,"37.7645, -122.4324",09:59:36,520,0
-80,"37.7643, -122.4326",10:01:48,530,1
-70,"37.7641, -122.4329",10:04:00,540,0
-75,"37.7639, -122.4331",10:06:12,550,1
-80,"37.7637, -122.4334",10:08:24,560,0
-85,"37.7635, -122.4336",10:10:36,570,1
-90,"37.7633, -122.4339",10:12:48,580,0
-95,"37.7631, -122.4341",10:15:00,590,1
-100,"37.7629, -122.4344",10:17:12,600,0
-90,"37.7627, -122.4346",10:19:24,610,0
-95,"37.7667, -122.4296",09:35:24,410,1
-100,"37.7665, -122.4299",09:37:36,420,0
-90,"37.7663, -122.4301",09:39:48,430,0
-80,"37.7661, -122.4304",09:42:00,440,1
-70,"37.7659, -122.4306",09:44:12,450,0
-75,"37.7657, -122.4309",09:46:24,460,1
-80,"37.7655, -122.4311",09:48:36,470,0
-85,"37.7653, -122.4314",09:50:48,480,1
-90,"37.7651, -122.4316",09:53:00,490,0
-95,"37.7649, -122.4319",09:55:12,500,1
-100,"37.7647, -122.4321",09:57:24,510,0
-90,"37.7645, -122.4324",09:59:36,520,0
-80,"37.7643, -122.4326",10:01:48,530,1
-70,"37.7641, -122.4329",10:04:00,540,0
-75,"37.7639, -122.4331",10:06:12,550,1
-80,"37.7637, -122.4334",10:08:24,560,0
-85,"37.7635, -122.4336",10:10:36,570,1
-90,"37.7633, -122.4339",10:12:48,580,0
-95,"37.7631, -122.4341",10:15:00,590,1
-100,"37.7629, -122.4344",10:17:12,600,0
-90,"37.7627, -122.4346",10:19:24,610,0
-80,"37.7709, -122.4244",08:49:12,200,0
-85,"37.7707, -122.4246",08:51:24,210,0
-90,"37.7705, -122.4249",08:53:36,220,0
-95,"37.7703, -122.4251",08:55:48,230,1
-100,"37.7701, -122.4254",08:58:00,240,0
-90,"37.7699, -122.4256",09:00:12,250,1
-80,"37.7697, -122.4259",09:02:24,260,0
-70,"37.7695, -122.4261",09:04:36,270,1
-75,"37.7693, -122.4264",09:06:48,280,0
-80,"37.7691, -122.4266",09:09:00,290,0
-85,"37.7689, -122.4269",09:11:12,300,1
-90,"37.7687, -122.4271",09:13:24,310,0
-95,"37.7685, -122.4274",09:15:36,320,1
-100,"37.7683, -122.4276",09:17:48,330,0
